g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
8	87	0.0849655	31143.4	4567.25	0.0465324	0.0565857	2000.71
9	74	0.0184479	31054.7	4567.44	0.0619369	0.0565591	2001.04
9	96	0.0451429	31047.3	4497.82	0.0511592	0.0565761	2000.92
9	100	0.0456199	31132.8	4498.29	0.051173	0.0565992	1999.33
9	93	0.0459214	31110.2	4500.62	0.0511296	0.0443595	2003.18
9	88	0.0462541	31184.1	4502.55	0.0511462	0.0565821	1998.42
9	81	0.0492656	31119	4622.31	0.0511714	0.0443205	2002.43
9	98	0.0494093	31176.8	4622.88	0.0512141	0.0565049	2002.42
9	95	0.0494429	31120.7	4625.35	0.051166	0.0566121	2003.04
9	92	0.0583419	32371.8	4571.85	0.0511708	0.0565593	2002.58
9	90	0.0625765	32769.3	4570.91	0.0511342	0.056599	2001.68
10	103	0.00225355	31035.4	4567.72	0.0619563	0.0565766	2002.32
10	74	0.00230396	31049.6	4567.6	0.0650286	0.0565591	2000.8
10	96	0.0451429	31047.3	4497.82	0.0511592	0.0565761	2000.92
10	100	0.0456199	31132.8	4498.29	0.051173	0.0565992	1999.33
10	107	0.0456751	31107.9	4496.85	0.0511366	0.0565974	2000.26
10	93	0.0459214	31110.2	4500.62	0.0511296	0.0443595	2003.18
10	106	0.046093	31197.1	4496.03	0.0511705	0.056623	2000.88
10	88	0.0462541	31184.1	4502.55	0.0511462	0.0565821	1998.42
10	105	0.047075	31060.1	4565.11	0.051164	0.056526	2002.44
10	109	0.0483073	31164.6	4576.21	0.0511219	0.056532	1998.44
11	119	0.00196968	31026.3	4499.98	0.0619141	0.0566303	1999.73
11	103	0.00225355	31037.5	4567.61	0.0649914	0.0565766	2001.67
11	74	0.00230396	31049.6	4567.6	0.0650286	0.0565591	2000.8
11	114	0.00239476	31088.3	4563.07	0.0619002	0.0564967	2000.93
11	117	0.0448759	31022.4	4494.54	0.0511671	0.056567	2002.2
11	118	0.0450138	31010.8	4498.83	0.0511403	0.056523	1999.95
11	96	0.0451429	31047.3	4497.82	0.0511592	0.0565761	2000.92
11	100	0.0456199	31132.8	4498.29	0.051173	0.0565992	1999.33
11	107	0.0456751	31107.9	4496.85	0.0511366	0.0565974	2000.26
11	93	0.0459214	31110.2	4500.62	0.0511296	0.0443595	2003.18
12	126	2.80845e-06	31013.9	4570.98	0.0649828	0.0565989	2001.54
12	119	0.00196968	31028.3	4505.58	0.0646842	0.0566303	2003.28
12	128	0.0020652	31039	4497.27	0.0618568	0.0443239	2001.06
12	103	0.00225355	31037.5	4567.61	0.0649914	0.0565766	2001.67
12	74	0.00230396	31049.6	4567.6	0.0650286	0.0565591	2000.8
12	114	0.00239476	31088.3	4563.07	0.0619002	0.0564967	2000.93
12	121	0.00245229	31091.3	4566.67	0.0618797	0.0565245	2000.21
12	127	0.0139378	28269.9	4565.63	0.0650552	0.0565202	2003.46
12	123	0.0448726	31017.8	4496.89	0.0511715	0.0564808	2002.36
12	117	0.0448759	31022.4	4494.54	0.0511671	0.056567	2002.2
13	135	4.05336e-08	31031.9	4568.83	0.0650074	0.229249	1999.92
13	126	2.80845e-06	31015.7	4569.16	0.0649748	0.0565989	1999.87
13	138	0.000150857	31009.5	4503.83	0.0647182	0.0566134	2000.05
13	140	0.000159492	31014.6	4501.44	0.0647061	0.0566006	2000.39
13	119	0.00196968	31028.3	4505.58	0.0646842	0.0566303	2003.28
13	131	0.0020034	31028.4	4494.84	0.0618863	0.0564511	1999.06
13	128	0.0020652	31039	4497.27	0.0618568	0.0443239	2001.06
13	103	0.00225355	31037.5	4567.61	0.0649914	0.0565766	2001.67
13	74	0.00230396	31049.6	4567.6	0.0650286	0.0565591	2000.8
13	114	0.00239476	31088.3	4563.07	0.0619002	0.0564967	2000.93
14	135	4.05336e-08	31032.3	4568.96	0.0650074	0.229249	2000
14	149	9.86431e-07	31026.6	4569.52	0.0650526	0.0565819	2000.26
14	150	1.41035e-06	31032.5	4571.42	0.0650185	0.0565903	2001.17
14	126	2.80845e-06	31015.7	4569.16	0.0649748	0.0565989	1999.87
14	141	2.95968e-05	31051.1	4569.37	0.0646781	0.229203	2000.27
14	144	3.4792e-05	31096.3	4563.49	0.0647121	0.0565845	2001.31
14	148	0.000135041	31023.1	4507.79	0.0646724	0.0565597	1999.47
14	138	0.000150857	31009.5	4503.83	0.0647182	0.0566134	2000.05
14	140	0.000159492	31014.6	4501.44	0.0647061	0.0566006	2000.39
14	142	0.000175355	31024	4496.4	0.0646795	0.056585	2001.81
15	135	2.54116e-08	31032.3	4568.96	0.0649978	0.229249	2000
15	157	5.41444e-07	31027.4	4572.36	0.0650045	0.0565718	2000.17
15	149	9.86431e-07	31026.6	4569.52	0.0650526	0.0565819	2000.26
15	150	1.41035e-06	31032.5	4571.42	0.0650185	0.0565903	2001.17
15	152	2.56397e-06	31023.7	4571.95	0.0649439	0.0565722	2001.07
15	126	2.80845e-06	31015.7	4569.16	0.0649748	0.0565989	1999.87
15	160	5.46572e-06	31033.6	4566.73	0.0649935	0.0566008	2003.01
15	154	1.21015e-05	30992.8	4569.32	0.064735	0.297522	1999.35
15	141	2.95968e-05	31051.1	4569.37	0.0646781	0.229203	2000.27
15	153	3.23768e-05	31043.4	4571.18	0.0646771	0.229021	2001.53
16	135	3.32923e-09	31032.3	4568.96	0.0649978	0.229249	2000
16	157	5.41444e-07	31027.4	4572.36	0.0650045	0.0565718	2000.17
16	149	9.86431e-07	31026.6	4569.52	0.0650526	0.0565819	2000.26
16	150	1.41035e-06	31032.5	4571.42	0.0650185	0.0565903	2001.17
16	167	1.77354e-06	31054.8	4569.15	0.0649633	0.0565433	2000.64
16	164	1.94679e-06	31045.1	4569.94	0.0650279	0.0565707	2001.67
16	166	2.52739e-06	30988.5	4571.36	0.0649399	0.0565277	1998.87
16	152	2.56397e-06	31023.7	4571.95	0.0649439	0.0565722	2001.07
16	126	2.80845e-06	31015.7	4569.16	0.0649748	0.0565989	1999.87
16	165	3.85156e-06	31020.6	4572.78	0.0649906	0.297715	1997.38
