g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
17	82	0.0229347	31310.8	3843.82	0.0640823	0.0790601	2155.03
18	96	2.67609e-06	31000.5	4572.02	0.0649551	0.141828	2000.83
18	91	7.32515e-05	31024.2	4570	0.0650304	0.141915	1999.71
18	81	8.59239e-05	31033.9	4569.1	0.0649994	0.141921	1999.92
18	100	0.000115975	31024.1	4577.82	0.065033	0.141982	1986.26
18	97	0.000237365	31002.3	4582	0.06409	0.14199	1990.55
19	101	1.8401e-06	31001.9	4574.14	0.0649797	0.142027	1999.46
19	96	2.67609e-06	31003.9	4569.44	0.0649551	0.141828	1999.7
19	102	1.28105e-05	31006.9	4581.59	0.065059	0.142094	2002.14
19	91	7.32515e-05	31024.2	4570	0.0650304	0.141915	1999.71
19	81	8.59239e-05	31033.9	4569.1	0.0649994	0.141921	1999.92
20	109	1.77575e-06	31012.6	4570.83	0.0649351	0.14214	2000.67
20	101	1.8401e-06	31004.9	4571.27	0.0649701	0.142027	1999.7
20	106	2.07548e-06	31014.3	4572.75	0.0650345	0.141923	2000.73
20	96	2.67609e-06	31003.9	4569.44	0.0649551	0.141828	1999.7
20	107	3.24208e-06	31018.9	4572.41	0.0650079	0.142021	2001.63
21	112	6.56197e-07	31019.1	4565.85	0.0649752	0.14205	2000.47
21	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
21	109	1.77575e-06	31012.6	4568.59	0.0649351	0.14214	2000.35
21	101	1.8401e-06	31004.9	4571.27	0.0649701	0.142027	1999.7
21	106	2.07548e-06	31014.3	4572.75	0.0650345	0.141923	2000.73
22	117	5.63287e-07	31012.2	4569.37	0.0649746	0.141949	2000.1
22	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
22	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
22	116	1.71638e-06	31016.6	4567.58	0.0649331	0.142004	2001.14
22	109	1.77575e-06	31012.6	4568.59	0.0649351	0.14214	2000.35
23	117	5.63287e-07	31012.2	4569.03	0.0649746	0.141949	2000
23	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
23	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
23	125	1.32504e-06	31030.9	4567.75	0.0650025	0.141944	2001.46
23	116	1.71638e-06	31016.6	4567.58	0.0649331	0.142004	2001.14
24	117	5.26922e-07	31034	4569.02	0.0649997	0.141949	2000
24	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
24	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
24	125	1.32504e-06	31030.9	4567.75	0.0650025	0.141944	2001.46
24	116	1.71638e-06	31016.6	4567.58	0.0649331	0.142004	2001.14
25	117	5.04342e-11	31034	4569.02	0.0649997	0.141949	2000
25	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
25	135	1.16909e-06	31039.5	4565.94	0.0649471	0.14205	1999.47
25	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
25	125	1.32504e-06	31030.9	4567.75	0.0650025	0.141944	2001.46
26	117	4.58441e-11	31034	4569	0.0649997	0.141949	2000
26	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
26	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
26	135	1.16909e-06	31039.5	4565.94	0.0649471	0.14205	1999.47
26	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
27	117	1.45912e-12	31034	4569	0.0649997	0.141949	2000
27	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
27	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
27	135	1.16909e-06	31039.5	4565.94	0.0649471	0.14205	1999.47
27	114	1.23993e-06	31013.3	4571.65	0.0649444	0.141839	2000.14
28	117	5.05811e-13	31034	4569	0.0649997	0.141949	2000
28	150	2.45171e-07	31020.7	4570.24	0.0649809	0.141743	1999.66
28	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
28	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
28	148	8.23527e-07	31028.2	4567.27	0.0649329	0.142007	1999.63
29	117	5.05811e-13	31034	4569	0.0649997	0.141949	2000
29	150	2.45171e-07	31020.7	4570.24	0.0649809	0.141743	1999.66
29	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
29	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
29	154	7.84384e-07	31050.1	4571.72	0.065025	0.141956	2000.51
30	117	5.05811e-13	31034	4569	0.0649997	0.141949	2000
30	150	2.45171e-07	31020.7	4570.24	0.0649809	0.141743	1999.66
30	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
30	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
30	154	7.84384e-07	31050.1	4571.72	0.065025	0.141956	2000.51
31	117	5.05811e-13	31034	4569	0.0649997	0.141949	2000
31	150	2.45171e-07	31020.7	4570.24	0.0649809	0.141743	1999.66
31	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
31	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
31	154	7.84384e-07	31050.1	4571.72	0.065025	0.141956	2000.51
32	117	5.05811e-13	31034	4569	0.0649997	0.141949	2000
32	150	2.45171e-07	31020.7	4570.24	0.0649809	0.141743	1999.66
32	139	6.03611e-07	31050.6	4568.83	0.0649878	0.141871	1999.86
32	112	6.56197e-07	31019.1	4567.2	0.0649724	0.14205	2000.21
32	154	7.84384e-07	31050.1	4571.72	0.065025	0.141956	2000.51
