# time, E11
3.0, -2.26e-05
3.005, 0.000382
3.01, 0.000789
3.015, 0.00119
3.02, 0.001593
3.025, 0.001999
3.03, 0.002396
3.035, 0.002799
3.04, 0.003202
3.045, 0.00361
3.05, 0.004007
3.055, 0.004411
3.06, 0.00481
3.065, 0.005218
3.07, 0.005614
3.075, 0.006019
3.08, 0.006421
3.085, 0.006823
3.09, 0.007226
3.095, 0.007631
3.1, 0.008028
3.105, 0.008432
3.11, 0.008838
3.115, 0.009235
3.12, 0.009637
3.125, 0.01004
3.13, 0.01044
3.135, 0.01085
3.14, 0.01125
3.145, 0.01165
3.15, 0.01205
3.155, 0.01245
3.16, 0.01285
3.165, 0.01326
3.17, 0.01366
3.175, 0.01406
3.18, 0.01446
3.185, 0.01486
3.19, 0.01527
3.195, 0.01566
3.2, 0.01607
3.205, 0.01647
3.21, 0.01687
3.215, 0.01728
3.22, 0.01768
3.225, 0.01808
3.23, 0.01848
3.235, 0.01888
3.24, 0.01929
3.245, 0.01968
3.25, 0.02
3.255, 0.01979
3.26, 0.01945
3.265, 0.01907
3.27, 0.01869
3.275, 0.01831
3.2800000000000002, 0.01794
3.285, 0.01756
3.29, 0.01718
3.295, 0.0168
3.3, 0.01646
3.305, 0.01613
3.31, 0.01572
3.315, 0.01525
3.32, 0.01476
3.325, 0.01425
3.33, 0.01382
3.335, 0.01342
3.34, 0.01302
3.3449999999999998, 0.01262
3.35, 0.01221
3.355, 0.01181
3.36, 0.0114
3.365, 0.011
3.37, 0.01059
3.375, 0.01019
3.38, 0.009787
3.385, 0.009382
3.39, 0.008981
3.395, 0.00858
3.4, 0.008179
3.4050000000000002, 0.007777
3.41, 0.007372
3.415, 0.006969
3.42, 0.00657
3.425, 0.006167
3.43, 0.005763
3.435, 0.005359
3.44, 0.004956
3.445, 0.004558
3.45, 0.004156
3.455, 0.003751
3.46, 0.00335
3.465, 0.002946
3.4699999999999998, 0.002543
3.475, 0.002144
3.48, 0.001738
3.485, 0.001336
3.49, 0.0009309
3.495, 0.000532
3.5, 0.000125
3.505, -0.000275
3.51, -0.00068
3.515, -0.00108
3.52, -0.001485
3.525, -0.001883
3.5300000000000002, -0.002288
3.535, -0.002688
3.54, -0.00309
3.545, -0.003491
3.55, -0.003898
3.555, -0.0043
3.56, -0.004698
3.565, -0.0051
3.57, -0.005503
3.575, -0.005902
3.58, -0.006306
3.585, -0.006701
3.59, -0.007111
3.5949999999999998, -0.007506
3.6, -0.007906
3.605, -0.008313
3.61, -0.00871
3.615, -0.009111
3.62, -0.009512
3.625, -0.009911
3.63, -0.01031
3.635, -0.01071
3.64, -0.01112
3.645, -0.01151
3.65, -0.01191
3.6550000000000002, -0.01232
3.66, -0.01271
3.665, -0.01312
3.67, -0.01351
3.675, -0.01392
3.68, -0.01432
3.685, -0.01472
3.69, -0.01512
3.695, -0.01552
3.7, -0.01592
3.705, -0.01632
3.71, -0.01672
3.715, -0.01712
3.7199999999999998, -0.01752
3.725, -0.01792
3.73, -0.01832
3.735, -0.01872
3.74, -0.01912
3.745, -0.01952
3.75, -0.01992
3.755, -0.01993
3.76, -0.01954
3.765, -0.01916
3.77, -0.01879
3.775, -0.01845
3.7800000000000002, -0.01809
3.785, -0.01774
3.79, -0.01738
3.795, -0.01703
3.8, -0.01665
3.805, -0.01631
3.81, -0.01599
3.815, -0.01557
3.82, -0.01511
3.825, -0.01463
3.83, -0.01409
3.835, -0.01364
3.84, -0.01323
3.8449999999999998, -0.01283
3.85, -0.01242
3.855, -0.01202
3.86, -0.01162
3.865, -0.01122
3.87, -0.01081
3.875, -0.01041
3.88, -0.009997
3.885, -0.009602
3.89, -0.009204
3.895, -0.008792
3.9, -0.008405
3.9050000000000002, -0.007995
3.91, -0.007585
3.915, -0.007188
3.92, -0.006784
3.925, -0.006381
3.93, -0.005979
3.935, -0.005575
3.94, -0.005173
3.945, -0.00477
3.95, -0.004365
3.955, -0.00396
3.96, -0.003561
3.965, -0.003153
3.9699999999999998, -0.002754
3.975, -0.002352
3.98, -0.001948
3.985, -0.001539
3.99, -0.001141
3.995, -0.0007335
